flag,config_hash,model,task,detail
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.07 (std=0.156, mean=0.146)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.41 (std=0.236, mean=0.576)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.04 (std=0.181, mean=0.173)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.37 (std=0.209, mean=0.570)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.14 (std=0.226, mean=0.198)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.35 (std=0.211, mean=0.600)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.21 (std=0.241, mean=0.199)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.36 (std=0.202, mean=0.566)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.22 (std=0.240, mean=0.197)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.35 (std=0.208, mean=0.600)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.37 (std=0.265, mean=0.193)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.31 (std=0.191, mean=0.609)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.32 (std=0.255, mean=0.194)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.28 (std=0.226, mean=0.177)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.40 (std=0.227, mean=0.162)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.40 (std=0.235, mean=0.168)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.36 (std=0.159, mean=0.441)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.22 (std=0.092, mean=0.075)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.94 (std=0.001, mean=0.002)"
