config_hash,model,task,step,reasoning_steps,split,difficulty,n_seeds,provisional,dev,diverged_k,exact_match_mean,exact_match_std,exact_match_min,exact_match_max,exact_match_values,exact_match_ci95_lo,exact_match_ci95_hi,exact_match_mean_incl_failed,token_acc_mean,params
76dd99c62a3e,bdh,compose,15000,16,interp,"{""depth"": 1}",3,True,False,0,0.122,0.006531972647421809,0.114,0.13,"[0.114, 0.13, 0.122]",0.114,0.13,0.122,0.122,10010880
76dd99c62a3e,bdh,compose,15000,16,interp,"{""depth"": 2}",3,True,False,0,0.06466666666666666,0.0033993463423951926,0.06,0.068,"[0.06, 0.068, 0.066]",0.06,0.068,0.06466666666666666,0.06466666666666666,10010880
76dd99c62a3e,bdh,compose,17500,16,interp,"{""depth"": 1}",3,True,False,0,0.12133333333333333,0.005249338582674539,0.114,0.126,"[0.114, 0.124, 0.126]",0.114,0.126,0.12133333333333333,0.12133333333333333,10010880
76dd99c62a3e,bdh,compose,17500,16,interp,"{""depth"": 2}",3,True,False,0,0.07266666666666667,0.008379870059984357,0.064,0.084,"[0.07, 0.084, 0.064]",0.064,0.084,0.07266666666666667,0.07266666666666667,10010880
76dd99c62a3e,bdh,compose,20000,16,interp,"{""depth"": 1}",3,True,False,0,0.11466666666666665,0.006798692684790379,0.108,0.124,"[0.112, 0.124, 0.108]",0.108,0.124,0.11466666666666665,0.11466666666666665,10010880
76dd99c62a3e,bdh,compose,20000,16,interp,"{""depth"": 2}",3,True,False,0,0.074,0.002828427124746186,0.07,0.076,"[0.076, 0.076, 0.07]",0.07,0.076,0.074,0.074,10010880
76dd99c62a3e,bdh,compose,22500,16,interp,"{""depth"": 1}",3,True,False,0,0.128,0.01574801574802362,0.114,0.15,"[0.15, 0.12, 0.114]",0.114,0.15,0.128,0.128,10010880
76dd99c62a3e,bdh,compose,22500,16,interp,"{""depth"": 2}",3,True,False,0,0.07733333333333332,0.013097921802925667,0.062,0.094,"[0.076, 0.094, 0.062]",0.062,0.09400000000000001,0.07733333333333332,0.07733333333333332,10010880
76dd99c62a3e,bdh,compose,25000,16,interp,"{""depth"": 1}",3,True,False,0,0.13,0.008640987597877155,0.118,0.138,"[0.134, 0.138, 0.118]",0.118,0.138,0.13,0.13,10010880
76dd99c62a3e,bdh,compose,25000,16,interp,"{""depth"": 2}",3,True,False,0,0.07733333333333332,0.004988876515698593,0.072,0.084,"[0.076, 0.084, 0.072]",0.072,0.084,0.07733333333333332,0.07733333333333332,10010880
