model,arm,config_hash,recurrence_kind,task,split,difficulty,reasoning_steps,step,n_seeds,cos_last,cos_last_vs_seed,cos_min_after_first,token_acc,exact_match
bdh,bdh/plain,01960a81500f,plain,compose,strong,"{""depth"": 6}",1,5000,1,0.8316044583916664,0.0,0.8316044583916664,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,strong,"{""depth"": 6}",1,7500,1,0.8736042305827141,0.0,0.8736042305827141,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,strong,"{""depth"": 6}",1,8000,1,0.8738907426595688,0.0,0.8738907426595688,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,strong,"{""depth"": 6}",4,2500,1,0.8460664227604866,0.0,0.8460664227604866,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,strong,"{""depth"": 6}",4,5000,1,0.8316044583916664,0.0,0.8316044583916664,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,strong,"{""depth"": 6}",4,7500,1,0.8736042305827141,0.0,0.8736042305827141,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,strong,"{""depth"": 6}",4,8000,1,0.8738907426595688,0.0,0.8738907426595688,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,strong,"{""depth"": 6}",8,8000,1,0.8739564567804337,0.0,0.8739564567804337,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,strong,"{""depth"": 6}",32,8000,1,0.8739564567804337,0.0,0.8739564567804337,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,strong,"{""depth"": 8}",1,2500,1,0.7761728093028069,0.0,0.7761728093028069,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,strong,"{""depth"": 8}",1,5000,1,0.7526242658495903,0.0,0.7526242658495903,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,strong,"{""depth"": 8}",1,7500,1,0.802490659058094,0.0,0.802490659058094,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,strong,"{""depth"": 8}",1,8000,1,0.80305215716362,0.0,0.80305215716362,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,strong,"{""depth"": 8}",4,2500,1,0.7761728093028069,0.0,0.7761728093028069,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,strong,"{""depth"": 8}",4,5000,1,0.7526242658495903,0.0,0.7526242658495903,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,strong,"{""depth"": 8}",4,7500,1,0.802490659058094,0.0,0.802490659058094,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,strong,"{""depth"": 8}",4,8000,1,0.80305215716362,0.0,0.80305215716362,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,strong,"{""depth"": 8}",8,8000,1,0.8076302912086248,0.0,0.8076302912086248,0.0,0.0
bdh,bdh/plain,01960a81500f,plain,compose,strong,"{""depth"": 8}",32,8000,1,0.8076302912086248,0.0,0.8076302912086248,0.0,0.0
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",1,2500,3,0.7890762388706207,0.0,0.7890762388706207,0.0006666666666666666,0.0006666666666666666
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",1,5000,3,0.8103076989452044,0.0,0.8103076989452044,0.014666666666666666,0.014666666666666666
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",1,7500,3,0.8641031136115392,0.0,0.8641031136115392,0.07933333333333333,0.07933333333333333
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",1,10000,3,0.8162397121389707,0.0,0.8162397121389707,0.10666666666666667,0.10666666666666667
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",1,12500,3,0.7477705428997675,0.0,0.7477705428997675,0.10866666666666665,0.10866666666666665
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",1,15000,3,0.671786886950334,0.0,0.671786886950334,0.122,0.122
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",1,17500,3,0.6473064000407854,0.0,0.6473064000407854,0.12133333333333333,0.12133333333333333
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",1,20000,3,0.630707174539566,0.0,0.630707174539566,0.11466666666666665,0.11466666666666665
