flag,config_hash,model,task,detail
PROVISIONAL,7eba1df15c93,bdh,propagate,n_seeds=3 < 5
HIGH VAR,7eba1df15c93,bdh,propagate,"cv=0.82 (std=0.007, mean=0.009)"
HIGH VAR,7eba1df15c93,bdh,propagate,"cv=0.39 (std=0.009, mean=0.022)"
HIGH VAR,7eba1df15c93,bdh,propagate,"cv=0.46 (std=0.005, mean=0.011)"
HIGH VAR,7eba1df15c93,bdh,propagate,"cv=0.57 (std=0.004, mean=0.007)"
HIGH VAR,7eba1df15c93,bdh,propagate,"cv=0.75 (std=0.094, mean=0.126)"
HIGH VAR,7eba1df15c93,bdh,propagate,"cv=0.61 (std=0.081, mean=0.133)"
HIGH VAR,7eba1df15c93,bdh,propagate,"cv=0.32 (std=0.011, mean=0.035)"
HIGH VAR,7eba1df15c93,bdh,propagate,"cv=1.12 (std=0.052, mean=0.047)"
HIGH VAR,7eba1df15c93,bdh,propagate,"cv=1.03 (std=0.018, mean=0.017)"
HIGH VAR,7eba1df15c93,bdh,propagate,"cv=1.28 (std=0.027, mean=0.021)"
HIGH VAR,7eba1df15c93,bdh,propagate,"cv=0.94 (std=0.002, mean=0.003)"
HIGH VAR,7eba1df15c93,bdh,propagate,"cv=1.41 (std=0.009, mean=0.007)"
HIGH VAR,7eba1df15c93,bdh,propagate,"cv=0.61 (std=0.005, mean=0.009)"
HIGH VAR,7eba1df15c93,bdh,propagate,"cv=1.41 (std=0.006, mean=0.004)"
HIGH VAR,7eba1df15c93,bdh,propagate,"cv=1.24 (std=0.010, mean=0.008)"
HIGH VAR,7eba1df15c93,bdh,propagate,"cv=1.41 (std=0.003, mean=0.002)"
HIGH VAR,7eba1df15c93,bdh,propagate,"cv=1.10 (std=0.010, mean=0.009)"
HIGH VAR,7eba1df15c93,bdh,propagate,"cv=1.41 (std=0.001, mean=0.001)"
HIGH VAR,7eba1df15c93,bdh,propagate,"cv=0.64 (std=0.003, mean=0.005)"
HIGH VAR,7eba1df15c93,bdh,propagate,"cv=1.41 (std=0.007, mean=0.005)"
HIGH VAR,7eba1df15c93,bdh,propagate,"cv=1.41 (std=0.002, mean=0.001)"
HIGH VAR,7eba1df15c93,bdh,propagate,"cv=1.41 (std=0.008, mean=0.005)"
HIGH VAR,7eba1df15c93,bdh,propagate,"cv=1.41 (std=0.005, mean=0.003)"
HIGH VAR,7eba1df15c93,bdh,propagate,"cv=1.41 (std=0.004, mean=0.003)"
PROVISIONAL,c45b3d86175e,bdh_cq,propagate,n_seeds=3 < 5
HIGH VAR,c45b3d86175e,bdh_cq,propagate,"cv=0.71 (std=0.001, mean=0.002)"
HIGH VAR,c45b3d86175e,bdh_cq,propagate,"cv=0.64 (std=0.012, mean=0.019)"
HIGH VAR,c45b3d86175e,bdh_cq,propagate,"cv=0.53 (std=0.007, mean=0.014)"
HIGH VAR,c45b3d86175e,bdh_cq,propagate,"cv=0.36 (std=0.005, mean=0.014)"
HIGH VAR,c45b3d86175e,bdh_cq,propagate,"cv=0.40 (std=0.235, mean=0.584)"
HIGH VAR,c45b3d86175e,bdh_cq,propagate,"cv=0.56 (std=0.365, mean=0.653)"
HIGH VAR,c45b3d86175e,bdh_cq,propagate,"cv=0.94 (std=0.007, mean=0.008)"
HIGH VAR,c45b3d86175e,bdh_cq,propagate,"cv=0.44 (std=0.006, mean=0.014)"
HIGH VAR,c45b3d86175e,bdh_cq,propagate,"cv=0.66 (std=0.291, mean=0.444)"
HIGH VAR,c45b3d86175e,bdh_cq,propagate,"cv=0.60 (std=0.190, mean=0.319)"
HIGH VAR,c45b3d86175e,bdh_cq,propagate,"cv=0.65 (std=0.197, mean=0.301)"
HIGH VAR,c45b3d86175e,bdh_cq,propagate,"cv=1.41 (std=0.001, mean=0.001)"
HIGH VAR,c45b3d86175e,bdh_cq,propagate,"cv=0.39 (std=0.034, mean=0.089)"
HIGH VAR,c45b3d86175e,bdh_cq,propagate,"cv=1.33 (std=0.067, mean=0.051)"
HIGH VAR,c45b3d86175e,bdh_cq,propagate,"cv=1.16 (std=0.063, mean=0.055)"
HIGH VAR,c45b3d86175e,bdh_cq,propagate,"cv=1.29 (std=0.056, mean=0.043)"
