config_hash,model,task,step,reasoning_steps,split,difficulty,n_seeds,provisional,dev,diverged_k,exact_match_mean,exact_match_std,exact_match_min,exact_match_max,exact_match_values,exact_match_ci95_lo,exact_match_ci95_hi,exact_match_mean_incl_failed,token_acc_mean,params
7eba1df15c93,bdh,propagate,2500,1,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",3,True,False,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.8059713769101812,29917440
7eba1df15c93,bdh,propagate,2500,1,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",3,True,False,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.8004671219471579,29917440
7eba1df15c93,bdh,propagate,2500,1,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",3,True,False,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.7872872745787894,29917440
7eba1df15c93,bdh,propagate,5000,1,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",3,True,False,0,0.008982035928143712,0.007333801625099335,0.0,0.017964071856287425,"[0.0, 0.017964071856287425, 0.008982035928143712]",0.0,0.017964071856287425,0.008982035928143712,0.8150365865991978,29917440
7eba1df15c93,bdh,propagate,5000,1,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",3,True,False,0,0.022022022022022022,0.008610936203245873,0.012012012012012012,0.03303303303303303,"[0.03303303303303303, 0.012012012012012012, 0.021021021021021023]",0.012012012012012012,0.03303303303303303,0.022022022022022022,0.8191524811454483,29917440
7eba1df15c93,bdh,propagate,5000,1,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",3,True,False,0,0.011011011011011013,0.005104123637230015,0.006006006006006006,0.018018018018018018,"[0.009009009009009009, 0.018018018018018018, 0.006006006006006006]",0.006006006006006006,0.018018018018018018,0.011011011011011013,0.8121454729749873,29917440
7eba1df15c93,bdh,propagate,7500,1,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",3,True,False,0,0.9780439121756487,0.01205892811735988,0.9610778443113772,0.9880239520958084,"[0.9850299401197605, 0.9880239520958084, 0.9610778443113772]",0.9610778443113772,0.9880239520958084,0.9780439121756487,0.9981703264508656,29917440
7eba1df15c93,bdh,propagate,7500,1,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",3,True,False,0,0.960960960960961,0.002451941684467681,0.9579579579579579,0.963963963963964,"[0.960960960960961, 0.963963963963964, 0.9579579579579579]",0.9579579579579579,0.963963963963964,0.960960960960961,0.996329663632749,29917440
7eba1df15c93,bdh,propagate,7500,1,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",3,True,False,0,0.971971971971972,0.005662516766258616,0.963963963963964,0.975975975975976,"[0.963963963963964, 0.975975975975976, 0.975975975975976]",0.963963963963964,0.975975975975976,0.971971971971972,0.9976643315545312,29917440
7eba1df15c93,bdh,propagate,10000,1,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",3,True,False,0,0.9860279441117764,0.011552731439910419,0.9700598802395209,0.9970059880239521,"[0.9700598802395209, 0.9970059880239521, 0.9910179640718563]",0.9700598802395209,0.9970059880239521,0.9860279441117764,0.9985861612294249,29917440
