flag,config_hash,model,task,detail
PROVISIONAL,75f014a16a02,bdh_cq,propagate,n_seeds=3 < 5
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.57 (std=0.003, mean=0.005)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.41 (std=0.002, mean=0.006)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.46 (std=0.008, mean=0.017)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.60 (std=0.026, mean=0.044)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.33 (std=0.031, mean=0.096)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.67 (std=0.072, mean=0.108)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.41 (std=0.156, mean=0.376)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.62 (std=0.187, mean=0.300)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.43 (std=0.294, mean=0.685)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.42 (std=0.290, mean=0.690)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.55 (std=0.356, mean=0.650)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.32 (std=0.244, mean=0.765)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.42 (std=0.312, mean=0.741)"
PROVISIONAL,f0b8b7c55f92,bdh_cq,propagate,n_seeds=3 < 5
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.67 (std=0.011, mean=0.017)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.47 (std=0.004, mean=0.008)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.35 (std=0.001, mean=0.004)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.73 (std=0.043, mean=0.058)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.86 (std=0.042, mean=0.049)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.76 (std=0.012, mean=0.016)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.38 (std=0.192, mean=0.505)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.53 (std=0.004, mean=0.007)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.35 (std=0.003, mean=0.008)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.71 (std=0.001, mean=0.002)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.47 (std=0.026, mean=0.054)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.41 (std=0.010, mean=0.025)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.03 (std=0.038, mean=0.037)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.58 (std=0.038, mean=0.065)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.77 (std=0.048, mean=0.062)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.32 (std=0.033, mean=0.101)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.66 (std=0.071, mean=0.108)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.46 (std=0.245, mean=0.537)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.61 (std=0.245, mean=0.399)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.83 (std=0.309, mean=0.371)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.50 (std=0.310, mean=0.626)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.53 (std=0.004, mean=0.007)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.40 (std=0.003, mean=0.007)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.82 (std=0.002, mean=0.003)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.46 (std=0.005, mean=0.011)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.41 (std=0.006, mean=0.004)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.76 (std=0.083, mean=0.110)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.62 (std=0.010, mean=0.016)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.41 (std=0.119, mean=0.290)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.53 (std=0.144, mean=0.271)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.61 (std=0.081, mean=0.133)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.41 (std=0.001, mean=0.001)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.94 (std=0.004, mean=0.004)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.35 (std=0.001, mean=0.004)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.83 (std=0.026, mean=0.032)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.58 (std=0.012, mean=0.021)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.06 (std=0.051, mean=0.048)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.55 (std=0.050, mean=0.092)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.49 (std=0.064, mean=0.131)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.55 (std=0.061, mean=0.111)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.32 (std=0.090, mean=0.283)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.57 (std=0.148, mean=0.259)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.41 (std=0.237, mean=0.573)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.42 (std=0.223, mean=0.527)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.61 (std=0.349, mean=0.571)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.33 (std=0.246, mean=0.754)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.42 (std=0.310, mean=0.742)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.94 (std=0.007, mean=0.008)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.41 (std=0.001, mean=0.001)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.41 (std=0.003, mean=0.002)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.41 (std=0.006, mean=0.004)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.41 (std=0.002, mean=0.001)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.41 (std=0.002, mean=0.004)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.64 (std=0.003, mean=0.005)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.71 (std=0.001, mean=0.001)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.77 (std=0.047, mean=0.061)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.41 (std=0.008, mean=0.006)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.20 (std=0.212, mean=0.177)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.17 (std=0.027, mean=0.023)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.10 (std=0.219, mean=0.199)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.71 (std=0.018, mean=0.026)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.17 (std=0.175, mean=0.150)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.84 (std=0.011, mean=0.013)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.01 (std=0.183, mean=0.181)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.16 (std=0.006, mean=0.005)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.09 (std=0.208, mean=0.191)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.71 (std=0.009, mean=0.013)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.93 (std=0.166, mean=0.179)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.97 (std=0.178, mean=0.184)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.82 (std=0.005, mean=0.006)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.93 (std=0.189, mean=0.203)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.29 (std=0.015, mean=0.011)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.92 (std=0.194, mean=0.211)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.17 (std=0.013, mean=0.011)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.71 (std=0.001, mean=0.001)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.41 (std=0.002, mean=0.004)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.41 (std=0.007, mean=0.017)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.94 (std=0.002, mean=0.003)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.30 (std=0.052, mean=0.172)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.56 (std=0.016, mean=0.028)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.42 (std=0.235, mean=0.555)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.68 (std=0.154, mean=0.228)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.82 (std=0.198, mean=0.242)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.90 (std=0.253, mean=0.281)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.91 (std=0.268, mean=0.296)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.93 (std=0.269, mean=0.290)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.00 (std=0.298, mean=0.297)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.32 (std=0.217, mean=0.684)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.02 (std=0.291, mean=0.286)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.03 (std=0.260, mean=0.253)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.11 (std=0.265, mean=0.238)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.09 (std=0.273, mean=0.249)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.39 (std=0.183, mean=0.131)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.41 (std=0.095, mean=0.067)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.48 (std=0.204, mean=0.428)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.72 (std=0.089, mean=0.125)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.81 (std=0.004, mean=0.005)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.82 (std=0.002, mean=0.002)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.88 (std=0.012, mean=0.014)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.02 (std=0.014, mean=0.013)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.23 (std=0.009, mean=0.007)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.89 (std=0.007, mean=0.008)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.41 (std=0.007, mean=0.005)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.25 (std=0.011, mean=0.009)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.41 (std=0.010, mean=0.007)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.41 (std=0.021, mean=0.015)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.41 (std=0.014, mean=0.010)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.41 (std=0.011, mean=0.008)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.82 (std=0.002, mean=0.002)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.16 (std=0.006, mean=0.005)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.41 (std=0.002, mean=0.001)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.94 (std=0.107, mean=0.113)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.19 (std=0.007, mean=0.006)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.49 (std=0.223, mean=0.452)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.76 (std=0.009, mean=0.012)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.31 (std=0.212, mean=0.684)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.83 (std=0.042, mean=0.051)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.63 (std=0.035, mean=0.056)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.83 (std=0.104, mean=0.125)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.59 (std=0.073, mean=0.124)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.91 (std=0.129, mean=0.142)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.59 (std=0.101, mean=0.171)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.60 (std=0.088, mean=0.146)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.58 (std=0.100, mean=0.174)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.64 (std=0.119, mean=0.185)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.71 (std=0.002, mean=0.003)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.71 (std=0.003, mean=0.004)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=0.75 (std=0.025, mean=0.033)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.38 (std=0.133, mean=0.096)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.39 (std=0.095, mean=0.068)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.20 (std=0.070, mean=0.058)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.29 (std=0.073, mean=0.057)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.41 (std=0.004, mean=0.003)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.39 (std=0.090, mean=0.065)"
HIGH VAR,75f014a16a02,bdh_cq,propagate,"cv=1.41 (std=0.120, mean=0.085)"
