model,arm,config_hash,recurrence_kind,task,split,difficulty,reasoning_steps,step,n_seeds,cos_last,cos_last_vs_seed,cos_min_after_first,token_acc,exact_match
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",1,35000,3,0.21340005906919637,0.0,0.21340005906919637,1.0,1.0
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",1,37500,3,0.21313944645226002,0.0,0.21313944645226002,1.0,1.0
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",1,40000,3,0.21333063145478567,0.0,0.21333063145478567,1.0,1.0
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",2,40000,3,0.21333063145478567,0.0,0.21333063145478567,1.0,1.0
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",4,2500,3,0.43281644210219383,0.0,0.43281644210219383,0.8008007886292817,0.0
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",4,5000,3,0.2565431594848633,0.0,0.2565431594848633,0.8038872123152405,0.011011011011011013
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",4,7500,3,0.19109815141807,0.0,0.19109815141807,0.9083249964513579,0.2942942942942943
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",4,10000,3,0.1881802398711443,0.0,0.1881802398711443,0.9968301641332494,0.963963963963964
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",4,12500,3,0.18753050453960896,0.0,0.18753050453960896,0.9974140812446167,0.970970970970971
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",4,15000,3,0.19847221424182257,0.0,0.19847221424182257,0.9982482486062341,0.97997997997998
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",4,17500,3,0.20251290934781233,0.0,0.20251290934781233,0.9992492493089137,0.993993993993994
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",4,20000,3,0.2083854035784801,0.0,0.2083854035784801,0.9993326661584375,0.9919919919919918
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",4,22500,3,0.20788929301003614,0.0,0.20788929301003614,0.9997497498094141,0.9969969969969971
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",4,25000,3,0.20908887249728045,0.0,0.20908887249728045,0.9998331665396094,0.9979979979979979
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",4,27500,3,0.20932962434987226,0.0,0.20932962434987226,0.9999165832698047,0.998998998998999
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",4,30000,3,0.2111051951845487,0.0,0.2111051951845487,1.0,1.0
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",4,32500,3,0.21206894889473915,0.0,0.21206894889473915,1.0,1.0
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",4,35000,3,0.21340005906919637,0.0,0.21340005906919637,1.0,1.0
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",4,37500,3,0.21313944645226002,0.0,0.21313944645226002,1.0,1.0
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",4,40000,3,0.21333063145478567,0.0,0.21333063145478567,1.0,1.0
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",8,40000,3,0.21033594912538925,0.0,0.21033594912538925,1.0,1.0
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",16,2500,3,0.43281644210219383,0.0,0.43281644210219383,0.8008007886292817,0.0
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",16,5000,3,0.2565431594848633,0.0,0.2565431594848633,0.8038872123152405,0.011011011011011013
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",16,7500,3,0.19109815141807,0.0,0.19109815141807,0.9083249964513579,0.2942942942942943
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",16,10000,3,0.1881802398711443,0.0,0.1881802398711443,0.9968301641332494,0.963963963963964
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",16,12500,3,0.18753050453960896,0.0,0.18753050453960896,0.9974140812446167,0.970970970970971
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",16,15000,3,0.19847221424182257,0.0,0.19847221424182257,0.9982482486062341,0.97997997997998
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",16,17500,3,0.20251290934781233,0.0,0.20251290934781233,0.9992492493089137,0.993993993993994
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",16,20000,3,0.2083854035784801,0.0,0.2083854035784801,0.9993326661584375,0.9919919919919918
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",16,22500,3,0.20788929301003614,0.0,0.20788929301003614,0.9997497498094141,0.9969969969969971
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",16,25000,3,0.20908887249728045,0.0,0.20908887249728045,0.9998331665396094,0.9979979979979979
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",16,27500,3,0.20932962434987226,0.0,0.20932962434987226,0.9999165832698047,0.998998998998999
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",16,30000,3,0.2111051951845487,0.0,0.2111051951845487,1.0,1.0
bdh,bdh/plain,5474de1f354e,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",16,32500,3,0.21206894889473915,0.0,0.21206894889473915,1.0,1.0
